01 314000000 58000
02 556000000 69000000
03 872000000 129000000
04 531000000 65000000
05 2907000000 420000000
06 1212000000 254000000
07 3632000000 1806000000
08 727000000 80000000
09 355000000 24000000
10 990000000 169000000
11 140000000 49000000
12 83000000 47000000
13 4599000000 941000000
14 212000000 55000000
15 1065000000 80000000
16 1427000000 1110000000
18 481000000 64000000
19 1332000000 274000000
20 505000000 80000000
21 5674000000 444000000
22 2288000000 671000000
23 513000000 121000000
24 1008000000 313000000
25 1090000000 303000000
26 163000000 548000000
27 818000000 51000000
28 8805000000 2650000000
29 1029000000 206000000
30 186000000 41000000
31 2708000000 493000000
